date,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
2015-05-08,gun,58.0,White,Constantia,New York,True,attack,Not fleeing,False,-76.008,43.266
2015-05-08,gun,48.0,Black,Harvey,Louisiana,False,attack,Not fleeing,False,-90.072,29.86
2015-05-08,NG,31.0,Black,Fridley,Minnesota,False,attack,Car,False,-93.266,45.07
2015-05-10,gun,47.0,White,Tacoma,Washington,False,attack,Not fleeing,False,-122.489,47.229
2015-05-10,NG,34.0,Black,Landover,Maryland,False,other,Car,False,-76.875,38.902
2015-05-11,NG,30.0,Black,Fort Worth,Texas,False,attack,Car,False,-97.395,32.661
2015-05-11,knife,28.0,White,St. Augustine,Florida,True,other,Not fleeing,False,-81.481,29.973
2015-05-12,gun,28.0,Black,Jacksonville,Florida,False,other,Foot,False,-81.739,30.213
2015-05-12,knife,40.0,White,Rancho Santa Margarita,California,True,other,Not fleeing,False,-117.613,33.655
2015-05-12,gun,46.0,NG,Honolulu,Hawaii,False,attack,Not fleeing,False,-157.862,21.31
2015-05-14,gun,37.0,White,Portage,Michigan,True,attack,Car,False,-85.641,42.229
2015-05-14,gun,53.0,White,St. Augustine,Florida,True,attack,Not fleeing,False,-81.278,29.85
2015-05-15,gun,41.0,White,Rockford,Illinois,True,attack,Not fleeing,False,-89.069,42.25
2015-05-15,toy gun,42.0,White,Sacramento,California,True,attack,Not fleeing,False,-121.434,38.552
2015-05-16,gun,45.0,Black,Harvey,Illinois,False,attack,Foot,False,-87.634,41.603
2015-05-17,gun,34.0,White,San Diego,California,True,attack,Foot,True,-117.154,32.802
2015-05-17,gun,18.0,White,St. Petersburg,Florida,True,attack,Not fleeing,False,-82.659,27.82
2015-05-17,sharp object,27.0,White,Ruidoso,New Mexico,False,other,Not fleeing,False,-105.673,33.357
2015-05-19,unarmed,54.0,Hispanic,Arlington,Virginia,False,attack,Not fleeing,False,-77.105,38.873
2015-05-19,gun,35.0,White,Cabot,Arkansas,False,attack,Not fleeing,False,-92.008,34.967
2015-05-19,gun,17.0,White,Grand Junction,Colorado,False,attack,Other,False,-108.556,39.074
2015-05-20,gun,29.0,Black,Lancaster,Pennsylvania,False,attack,Not fleeing,False,-76.3,40.042
2015-05-20,gun,38.0,Black,Owensboro,Kentucky,False,attack,Not fleeing,False,-87.123,37.724
2015-05-20,gun,26.0,Black,Omaha,Nebraska,False,attack,Not fleeing,False,-95.957,41.324
2015-05-20,knife,52.0,White,Green,Ohio,False,other,Not fleeing,False,-81.429,40.965
2015-05-20,knife,39.0,White,Gillette,Wyoming,False,other,Car,False,-105.45,44.302
2015-05-21,gun,22.0,Hispanic,El Paso,Texas,True,undetermined,Not fleeing,False,-106.423,31.904
2015-05-21,knife,29.0,Black,Ft. Lauderdale,Florida,False,attack,Not fleeing,False,-80.184,26.107
